id,skills,interests,education,experience_level,certifications,career
936,HuggingFace PyTorch TensorFlow LLMs,Conversational AI,BE AI,Beginner,AWS CCP,AI Engineer
937,Confluence Notion Roadmapping JIRA,Product Strategy Business,MCA,Beginner,Google PM Certificate Scrum Master,Product Manager
938,Wireframing CSS HTML Adobe XD,Human-Computer Interaction User Experience,Diploma CS,Advanced,Google UX Design Figma Expert,UI/UX Designer
939,Truffle Ethereum Python Hardhat,Decentralization,BTech IT,Intermediate,Ethereum Developer,Blockchain Developer
940,TensorFlow NumPy PyTorch Statistics,Analytics AI,BCA,Intermediate,AWS CCP,Data Scientist
941,Data Structures Linux Python CI/CD,Problem Solving,BTech CSE,Advanced,CompTIA A+ Oracle Java,Software Engineer
942,REST API MongoDB TypeScript,Startups,BTech IT,Advanced,Oracle Java MongoDB Associate,Full Stack Developer
943,Statistics Google Analytics Spark R Requirements Gathering,Business Intelligence Reporting,BCA,Advanced,Tableau Desktop Google Data Analytics,Data Analyst
944,Google Cloud CloudFormation CDN Docker Web3.js,Networking,BTech IT,Beginner,AWS SA Google Cloud Associate,Cloud Engineer
945,Prometheus Kubernetes Terraform Python,Cloud Operations,MCA,Intermediate,AWS SA,Site Reliability Engineer
946,Networking Azure Lambda S3,Networking,BTech CSE,Advanced,Google Cloud Associate AWS SA,Cloud Engineer
947,AWS SageMaker Kafka Kubeflow,Model Deployment Machine Learning,MCA,Advanced,Azure ML,ML Engineer
948,Docker Networking Azure Lambda,Networking,BE AI,Intermediate,AWS SA,Cloud Engineer
949,MLflow Feature Engineering Kafka AWS SageMaker,Deep Learning Model Deployment,BE AI,Intermediate,TensorFlow Developer,ML Engineer
950,CUDA Object Detection TensorFlow ONNX C++,Computer Vision Robotics,BTech IT,Intermediate,TensorFlow Developer PyTorch Certified,Computer Vision Engineer
951,Helm Prometheus GitHub Actions,Automation,BSc Computer Science,Intermediate,AWS SA Kubernetes CKA,DevOps Engineer
952,Physics Engine AI Pathfinding Multiplayer Networking,3D Design Game Development,BTech IT,Beginner,Unity Certified C++ Institute,Game Developer
953,REST API ReactJS Figma Redux,JavaScript Ecosystem Web Performance,MCA,Intermediate,AWS CCP Meta Frontend,Frontend Developer
954,Microservices REST API FastAPI MySQL,Distributed Systems Databases,BCA,Intermediate,Azure Fundamentals,Backend Developer
955,Keras Pillow Detectron2 TensorFlow,Computer Vision AI Research,MSc Data Science,Advanced,NVIDIA Deep Learning Google Cloud ML,Computer Vision Engineer
956,Ansible Helm Linux Python,Cloud Infrastructure,BTech IT,Advanced,Google Cloud DevOps Kubernetes CKA,DevOps Engineer
957,Keras PyTorch Image Segmentation,Computer Vision,BTech IT,Advanced,AWS CCP NVIDIA Deep Learning,Computer Vision Engineer
958,DeFi Hardhat Rust Web3.js,DeFi,BTech CSE,Intermediate,Web3 Developer,Blockchain Developer
959,PostgreSQL Redis MySQL Microservices,Distributed Systems,BTech IT,Beginner,MongoDB Associate,Backend Developer
960,Data Structures C++ Python Algorithms,Problem Solving,BSc Computer Science,Intermediate,RedHat RHCSA,Software Engineer
961,Blender Lua Game Design Multiplayer Networking SLIs/SLOs,Interactive Media 3D Design,BTech IT,Intermediate,Unity Certified Unreal Engine Cert,Game Developer
962,Power BI Spark SQL Seaborn,Analytics,Diploma CS,Beginner,Google Cloud Associate,Data Scientist
963,Bash Incident Management Docker AWS,Cloud Operations,Diploma CS,Advanced,AWS SA Kubernetes CKA,Site Reliability Engineer
964,Unit Testing Python System Design Git,Open Source,MCA,Advanced,AWS CCP RedHat RHCSA,Software Engineer
965,HTML MongoDB Next.js Express.js,Startups APIs,BSc Computer Science,Advanced,Oracle Java MongoDB Associate,Full Stack Developer
966,Data Visualization SQL PostgreSQL,Insights,MCA,Advanced,Tableau Desktop,Data Analyst
967,Sketch Figma InVision,Design Product Design,BE AI,Intermediate,Interaction Design Adobe XD Certified,UI/UX Designer
968,HTML Next.js JavaScript TypeScript,JavaScript Ecosystem User Experience,BCA,Intermediate,Google UX Design,Frontend Developer
969,IDS/IPS OWASP Penetration Testing Nmap,Threat Intelligence,BSc Computer Science,Beginner,CISSP,Cybersecurity Analyst
970,Python ONNX CNNs Image Segmentation Seaborn,AI Research,BTech CSE,Beginner,PyTorch Certified,Computer Vision Engineer
971,DeFi Smart Contracts Hardhat Ethereum,Decentralization Web3,BCA,Advanced,Web3 Developer,Blockchain Developer
972,Data Analysis Visio Excel Requirements Gathering Model Deployment,Data,BSc Computer Science,Advanced,CBAP,Business Analyst
973,IPFS Web3.js Chainlink Hardhat,Cryptography Blockchain,BTech CSE,Intermediate,Certified Blockchain Expert,Blockchain Developer
974,REST API Tailwind CSS ReactJS,Web Performance Web Development,BTech IT,Advanced,JavaScript Algorithms Azure Fundamentals,Frontend Developer
975,Xcode Kotlin Android iOS,iOS Android,BE AI,Intermediate,Flutter Certified Google Android Developer,Mobile App Developer
976,Matplotlib Pandas PyTorch Seaborn,Machine Learning Statistics,MSc Data Science,Advanced,IBM Data Science,Data Scientist
977,Tableau Python Power BI Data Visualization,Data Analytics Insights,BCA,Intermediate,Power BI Associate,Data Analyst
978,Agile Confluence Market Research SQL,Product Strategy Agile,BTech IT,Beginner,PMP Scrum Master,Product Manager
979,Angular Webpack GraphQL,UI Design Web Development,BTech CSE,Beginner,Google UX Design Azure Fundamentals,Frontend Developer
980,TypeScript Jest Tailwind CSS ReactJS,Web Performance,BCA,Intermediate,Google UX Design Meta Frontend,Frontend Developer
981,Python Docker Feature Engineering AWS SageMaker,MLOps,BTech CSE,Advanced,TensorFlow Developer Azure ML,ML Engineer
982,R Pandas Power BI NumPy Penetration Testing,Data Science,MSc Data Science,Advanced,Azure Fundamentals Google Cloud Associate,Data Scientist
983,TensorFlow Power BI Jupyter,Statistics,MCA,Beginner,AWS CCP IBM Data Science,Data Scientist
984,Network Security Python Incident Response,Cybersecurity,BCA,Beginner,CompTIA Security+,Cybersecurity Analyst
985,Pandas R PostgreSQL Excel,Insights,MCA,Beginner,Google Data Analytics IBM Data Analyst,Data Analyst
986,Kubeflow Feature Engineering MLflow PyTorch,AI Systems Machine Learning,MSc Data Science,Intermediate,AWS SageMaker,ML Engineer
987,Xcode Android Studio REST API Flutter Ansible,iOS,BCA,Advanced,Apple iOS Developer,Mobile App Developer
988,NLTK Python HuggingFace,Conversational AI Natural Language Processing,MSc Data Science,Advanced,AWS CCP TensorFlow Developer,NLP Engineer
989,C++ Unity Blender,Simulation Game Development,BTech CSE,Advanced,Unity Certified,Game Developer
990,BPMN Stakeholder Management Agile Use Cases,Enterprise Systems Strategy,MCA,Advanced,Tableau Desktop Scrum Master,Business Analyst
991,RAG FastAPI LLMs HuggingFace,LLMs AI Research,BE AI,Intermediate,AWS CCP Google Cloud Associate,AI Engineer
992,Blender 3D Modeling OpenGL,3D Design Graphics,BCA,Advanced,Unreal Engine Cert AWS GameTech,Game Developer
993,TensorFlow FastAPI LLMs RAG,AI Products AI Research,MCA,Beginner,AWS CCP,AI Engineer
994,CSS Jest Figma Webpack Security,Web Performance User Experience,BCA,Beginner,Google UX Design Azure Fundamentals,Frontend Developer
995,Git CSS HTML GraphQL OpenGL,Web Apps,BSc Computer Science,Beginner,Meta Full Stack Azure Fundamentals,Full Stack Developer
996,AWS Express.js Next.js GraphQL,Startups Web Apps,BSc Computer Science,Beginner,Azure Fundamentals,Full Stack Developer
997,C++ AI Pathfinding Python C#,Simulation Game Development,BTech CSE,Beginner,Unity Certified,Game Developer
998,Power BI Python PyTorch Pandas,Data Science Research,MSc Data Science,Beginner,IBM Data Science Google Cloud Associate,Data Scientist
999,FastAPI Transformers PyTorch HuggingFace,Generative AI LLMs,BCA,Beginner,TensorFlow Developer HuggingFace Certified,AI Engineer
1000,Stakeholder Management Business Process Requirements Gathering Confluence,Process Improvement,BTech IT,Beginner,ITIL,Business Analyst
